Date,Open,High,Low,Close,Volume,GDP,PAYEMS,DTB1YR,DTB6,DTB3,DGS3MO,DGS1MO,CPIAUCSL,BOGMBASE,TEDRATE
2014-03-05,295.6000061035156,296.1600036621094,289.6000061035156,289.9200134277344,687575,17102.5,137499.0,0.12,0.08,0.05,0.05,0.06,234.933,3728498.0,0.18
2014-03-06,289.0400085449219,292.8800048828125,287.3599853515625,292.5599975585937,456063,17102.5,137499.0,0.13,0.09,0.06,0.06,0.06,234.933,3833347.0,0.2
2014-03-07,293.2799987792969,295.2799987792969,293.0400085449219,294.239990234375,277213,17102.5,137699.0,0.12,0.08,0.05,0.05,0.06,234.933,3833347.0,0.19
2014-03-10,290.239990234375,291.3599853515625,289.44000244140625,290.3999938964844,401363,17102.5,137699.0,0.13,0.09,0.06,0.06,0.06,234.933,3833347.0,0.19
2014-03-11,289.44000244140625,290.0799865722656,286.1600036621094,286.4800109863281,447613,17102.5,137699.0,0.12,0.08,0.05,0.05,0.05,234.933,3833347.0,0.19
2014-03-12,282.1600036621094,284.3999938964844,280.32000732421875,282.79998779296875,821575,17102.5,137699.0,0.13,0.08,0.05,0.05,0.06,234.933,3833347.0,0.17
2014-03-13,281.9200134277344,282.79998779296875,281.0400085449219,282.7200012207031,276413,17102.5,137699.0,0.12,0.08,0.05,0.05,0.05,234.933,3833347.0,0.19
2014-03-14,283.760009765625,285.3599853515625,282.7200012207031,284.239990234375,450638,17102.5,137699.0,0.12,0.08,0.05,0.05,0.06,234.933,3833347.0,0.18
2014-03-17,282.8800048828125,283.2799987792969,279.760009765625,281.20001220703125,319063,17102.5,137699.0,0.12,0.08,0.05,0.05,0.06,234.933,3833347.0,0.18
2014-03-18,281.760009765625,285.44000244140625,281.760009765625,284.6400146484375,323250,17102.5,137699.0,0.12,0.08,0.06,0.06,0.05,235.169,3833347.0,0.18
2014-03-19,284.8800048828125,286.239990234375,283.6000061035156,285.67999267578125,291675,17102.5,137699.0,0.12,0.07,0.05,0.05,0.07,235.169,3833347.0,0.18
2014-03-20,284.6400146484375,286.7200012207031,282.8800048828125,284.6400146484375,286975,17102.5,137699.0,0.14,0.09,0.06,0.06,0.07,235.169,3833347.0,0.18
2014-03-21,286.0799865722656,289.1199951171875,285.8399963378906,286.7200012207031,338500,17102.5,137699.0,0.13,0.09,0.06,0.06,0.06,235.169,3833347.0,0.18
2014-03-24,289.1199951171875,289.1199951171875,286.1600036621094,286.5599975585937,206050,17102.5,137699.0,0.13,0.08,0.06,0.06,0.05,235.169,3833347.0,0.17
2014-03-25,287.760009765625,289.1199951171875,284.9599914550781,286.1600036621094,272988,17102.5,137699.0,0.13,0.08,0.06,0.06,0.05,235.169,3833347.0,0.18
2014-03-26,288.0,289.67999267578125,286.8800048828125,288.7200012207031,242638,17102.5,137699.0,0.12,0.08,0.05,0.05,0.05,235.169,3833347.0,0.17
2014-03-27,292.0,293.20001220703125,291.67999267578125,292.0,260238,17102.5,137699.0,0.11,0.07,0.05,0.05,0.05,235.169,3833347.0,0.17
2014-03-28,294.32000732421875,294.7200012207031,292.3999938964844,292.9599914550781,250063,17102.5,137699.0,0.11,0.06,0.04,0.04,0.02,235.169,3833347.0,0.17
2014-03-31,292.7200012207031,293.9200134277344,290.8800048828125,292.7200012207031,265500,17102.5,137699.0,0.12,0.06,0.04,0.04,0.03,235.169,3833347.0,0.18
2014-04-01,291.6000061035156,292.0,286.3999938964844,286.6400146484375,586075,17102.5,137699.0,0.12,0.07,0.05,0.05,0.03,235.169,3833347.0,0.18
2014-04-02,286.4800109863281,287.6000061035156,285.0400085449219,286.3999938964844,420775,17102.5,137699.0,0.13,0.06,0.04,0.04,0.02,235.169,3833347.0,0.18
2014-04-03,286.7200012207031,289.67999267578125,286.32000732421875,289.1199951171875,233475,17102.5,137699.0,0.12,0.06,0.02,0.02,0.02,235.169,3885850.0,0.19
2014-04-04,291.8399963378906,292.9599914550781,291.1199951171875,291.44000244140625,303450,17102.5,137928.0,0.11,0.05,0.02,0.02,0.03,235.169,3885850.0,0.19
2014-04-07,289.6000061035156,292.0799865722656,288.0799865722656,290.239990234375,253775,17102.5,137928.0,0.11,0.05,0.03,0.03,0.03,235.169,3885850.0,0.18
2014-04-08,291.67999267578125,296.0799865722656,290.5599975585937,295.20001220703125,562250,17102.5,137928.0,0.11,0.06,0.03,0.03,0.03,235.169,3885850.0,0.19
2014-04-09,295.8399963378906,299.0400085449219,295.20001220703125,297.760009765625,558400,17102.5,137928.0,0.11,0.06,0.03,0.03,0.04,235.169,3885850.0,0.21
2014-04-10,297.8399963378906,298.6400146484375,297.0400085449219,297.6000061035156,371138,17102.5,137928.0,0.1,0.05,0.04,0.04,0.03,235.169,3885850.0,0.21
2014-04-11,297.6000061035156,300.32000732421875,297.44000244140625,297.44000244140625,329788,17102.5,137928.0,0.09,0.06,0.04,0.04,0.03,235.169,3885850.0,0.2
2014-04-14,298.7200012207031,300.5599975585937,298.4800109863281,299.0400085449219,168550,17102.5,137928.0,0.09,0.06,0.04,0.04,0.04,235.169,3885850.0,0.2
2014-04-15,299.0400085449219,300.32000732421875,298.79998779296875,299.1199951171875,339400,17102.5,137928.0,0.1,0.06,0.04,0.04,0.03,235.64,3885850.0,0.2
2014-04-16,302.239990234375,302.4800109863281,298.0,299.8399963378906,583675,17102.5,137928.0,0.1,0.05,0.04,0.04,0.03,235.64,3885850.0,0.19
2014-04-17,300.0799865722656,302.32000732421875,299.6000061035156,301.2799987792969,385488,17102.5,137928.0,0.1,0.05,0.04,0.04,0.03,235.64,3885850.0,0.19
2014-04-21,300.7200012207031,302.0799865722656,300.3999938964844,301.1199951171875,169200,17102.5,137928.0,0.1,0.05,0.04,0.04,0.03,235.64,3885850.0,0.19
2014-04-22,297.67999267578125,297.8399963378906,295.3599853515625,296.0,389825,17102.5,137928.0,0.1,0.06,0.04,0.04,0.02,235.64,3885850.0,0.19
2014-04-23,296.32000732421875,296.9599914550781,294.7200012207031,295.2799987792969,298700,17102.5,137928.0,0.1,0.06,0.03,0.03,0.02,235.64,3885850.0,0.19
