Date,Open,High,Low,Close,Volume,Label,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2020-03-03,151.6764205001448,157.48471669902864,150.24653720038253,154.16146850585938,38608000,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,38,0.0,0.0,0.0,8973.497497558594,-0.01347359839226736
2020-03-04,154.24034389996913,155.16730698694997,152.05113768730698,152.52447509765625,23463700,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,39,0.0,0.0,0.0,9058.621154785156,0.009486118121693643
2020-03-05,154.95034246438863,156.61690167602265,154.63477419010653,156.32106018066406,17786200,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,40,0.0,0.0,0.0,8861.19873046875,-0.021793871378771534
2020-03-06,164.97929666759018,166.98113626553,161.83354442879147,164.45664978027344,76288300,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,41,0.0,0.0,0.0,8438.148071289062,-0.04774192206355232
2020-03-09,176.61558457587165,177.20725252768793,167.9770910363908,168.91390991210938,41552800,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,42,0.0,0.0,0.0,8206.370544433594,-0.027467819348192757
2020-03-10,167.2868542612144,170.53121071816955,159.7824150510518,160.25575256347656,37728300,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,43,0.0,0.0,0.0,8656.5947265625,0.05486276542000579
2020-03-11,163.13520960074834,164.71302101715247,153.4711635784288,154.35867309570312,29519300,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,44,0.0,0.0,0.0,8963.242858886719,0.03542364428627787
2020-03-12,161.24182622579207,164.0522977830295,153.5007284202598,155.31520080566406,24361800,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,45,0.0,0.0,0.0,8913.50341796875,-0.005549268462435308
2020-03-13,152.84990492250074,156.00551285341115,150.07888647305873,151.8046112060547,19812900,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,46,0.0,0.0,0.0,9096.054077148438,0.02048023662746168
2020-03-16,158.15528970693398,163.84524017632006,155.62093230241993,161.63632202148438,30496700,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,47,0.0,0.0,0.0,8584.805114746094,-0.056205576403369095
2020-03-17,161.2320008773455,163.3324592818371,150.59168156862185,150.85792541503906,18570900,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,48,0.0,0.0,0.0,9145.28173828125,0.06528705265218271
2020-03-18,150.71986150248023,152.00183143579906,137.08170388340122,142.34764099121094,47061000,0,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,49,0.0,0.0,0.0,9587.816528320312,0.04838941026678878
2020-03-19,144.91154634938306,151.32138010802376,143.23513129885555,146.2230987548828,21175300,0,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,50,0.0,0.0,0.0,9386.292724609375,-0.021018738011483684
2020-03-20,151.1734879167851,157.21844482421875,149.9999927040281,157.21844482421875,20863100,0,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,51,0.0,0.0,0.0,8814.534729003906,-0.060914144953780336
2020-03-23,155.31523463237716,164.37775771465735,154.3981423743114,163.69732666015625,19971800,1,0,1,0,0,-52.0,134.42103576660156,6989.893859863281,52,-1522.3671264648438,-0.22,-1522.3671264648438,8477.632873535156,-0.038221172849905116
2020-03-24,159.01320028998347,163.15493645090226,158.1848560672247,160.65017700195312,11948600,1,1,0,0,0,36.0,160.65017700195312,5783.4063720703125,1,0.0,0.0,-1522.3671264648438,8477.632873535156,0.0
2020-03-25,161.32074670169968,164.36787994757637,159.3780724854189,160.28530883789062,10750600,1,0,0,0,0,36.0,160.65017700195312,5783.4063720703125,2,0.0,0.0,-1522.3671264648438,8464.497619628906,-0.0015494011243698536
2020-03-26,161.72505182327305,163.38174025347695,160.0190539654054,161.07420349121094,10576200,1,0,0,0,0,36.0,160.65017700195312,5783.4063720703125,3,0.0,0.0,-1522.3671264648438,8492.897827148438,0.003355214780103699
