Date,Close,Label,Open,High,Low,Volume,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2020-03-05,76.87999725341797,-1,78.4800033569336,78.80000305175781,76.4000015258789,4140325,0,0,0,0,-119.0,79.36000061035156,9443.840072631836,4,0.0,0.0,3582.800483703611,13877.920883178707,0.01744878156100671
2020-03-06,69.83999633789062,-1,74.08000183105469,74.16000366210938,68.80000305175781,9782050,0,0,0,0,-119.0,79.36000061035156,9443.840072631836,5,0.0,0.0,3582.800483703611,14715.680992126461,0.060366398972860225
2020-03-09,52.15999984741211,1,54.560001373291016,58.400001525878906,52.0,19268563,0,1,0,0,-119.0,79.36000061035156,9443.840072631836,6,3236.800090789795,0.34,6819.600574493406,16819.600574493405,0.14297126877734256
2020-03-10,57.91999816894531,0,56.720001220703125,58.63999938964844,54.880001068115234,10698375,0,0,0,0,0.0,57.91999816894531,0.0,0,0.0,0.0,6819.600574493406,16819.600574493405,0.0
2020-03-11,55.52000045776367,0,56.15999984741211,56.720001220703125,54.720001220703125,8137688,0,0,0,0,0.0,55.52000045776367,0.0,0,0.0,0.0,6819.600574493406,16819.600574493405,0.0
2020-03-12,52.31999969482422,-1,51.52000045776367,54.400001525878906,51.43999862670898,11630325,0,0,1,0,-225.0,52.31999969482422,11771.99993133545,1,0.0,0.0,6819.600574493406,16819.600574493405,0.0
2020-03-13,55.68000030517578,-1,55.119998931884766,57.040000915527344,52.31999969482422,9832213,0,0,0,0,-225.0,52.31999969482422,11771.99993133545,2,0.0,0.0,6819.600574493406,16063.600437164303,-0.044947567808213074
2020-03-16,48.400001525878906,-1,48.720001220703125,51.040000915527344,46.560001373291016,9516613,0,0,0,0,-225.0,52.31999969482422,11771.99993133545,3,0.0,0.0,6819.600574493406,17701.6001625061,0.10196965068629105
2020-03-17,45.68000030517578,-1,48.31999969482422,49.20000076293945,45.040000915527344,8618150,0,0,0,0,-225.0,52.31999969482422,11771.99993133545,4,0.0,0.0,6819.600574493406,18313.600437164303,0.034573161128929275
2020-03-18,37.68000030517578,1,40.47999954223633,41.43999862670898,34.31999969482422,23764250,0,1,0,0,-225.0,52.31999969482422,11771.99993133545,5,3293.9998626708984,0.28,10113.600437164305,20113.600437164303,0.09828760904640088
2020-03-19,42.959999084472656,0,38.31999969482422,45.36000061035156,36.79999923706055,16267000,0,0,0,0,0.0,42.959999084472656,0.0,0,0.0,0.0,10113.600437164305,20113.600437164303,0.0
2020-03-20,39.52000045776367,0,42.2400016784668,42.959999084472656,37.43999862670898,18333663,0,0,0,0,0.0,39.52000045776367,0.0,0,0.0,0.0,10113.600437164305,20113.600437164303,0.0
2020-03-23,39.040000915527344,0,38.15999984741211,39.20000076293945,36.2400016784668,9050388,0,0,0,0,0.0,39.040000915527344,0.0,0,0.0,0.0,10113.600437164305,20113.600437164303,0.0
